seller_id,region
4c2b230173bb36f9b240f2b8ac11786e,Lazio
7c67e1448b00f6e969d365cea6b010ab,Lazio
75745ef7bc7d4f3ea3380f6f5303f514,Trentino Alto Adige
5dceca129747e92ff8ef7a997dc4f8ca,Lazio
ce27a3cc3c8cc1ea79d11e561e9bebb6,Lazio
6560211a19b47992c3666cc44a7e94c0,Lazio
d2374cbcbb3ca4ab1086534108cc3ab7,Lazio
b1fc4f64df5a0e8b6913ab38803c57a9,Piemonte
4a3ca9315b744ce9f8e9374361493884,Lazio
0ff83046c3fa22efee8ecf291888b191,Sardegna
48436dade18ac8b2bce089ec2a041202,Lazio
3d871de0142ce09b7081e2b9d1733cb1,Lazio
1025f0e2d44d7041d6cf58b6550e0bfa,Lazio
7c67e1448b00f6e969d365cea6b010ab,Lazio
7299e27ed73d2ad986de7f7c77d919fa,Toscana
53243585a1d6dc2643021fd1853d8905,Friuli Venezia Giulia
da8622b14eb17ae2831f4ac5b9dab84a,Lazio
4371b634e0efc0e22b09b52907d9d469,Lazio
c68fb906c8f4b4b946d8386bfa6e5467,Lazio
da8622b14eb17ae2831f4ac5b9dab84a,Lazio
4a3ca9315b744ce9f8e9374361493884,Lazio
8581055ce74af1daba164fdbd55a40de,Lazio
3d871de0142ce09b7081e2b9d1733cb1,Lazio
cc419e0650a3c5ba77189a1882b7556a,Lazio
b2ba3715d723d245138f291a6fe42594,Lazio
88460e8ebdecbfecb5f9601833981930,Liguria
44073f8b7e41514de3b7815dd0237f4f,Trentino Alto Adige
7a67c85e85bb2ce8582c35f2203ad736,Lazio
a938325a4b357fd23a6a4d5bb126408e,Piemonte
9d5a9018aee56acb367ba9c3f05d1d6a,Basilicata
d93b8458c6fe139d85cfa5eadbf55bd2,Lazio
86ccac0b835037332a596a33b6949ee1,Abruzzo
eed78ac17f7f795a19a709745f00cd4e,Lazio
54a1852d1b8f10312c55e906355666ee,Lazio
897060da8b9a21f655304d50fd935913,Lazio
3bb548e3cb7f70f28e3f11ee9dce0e59,Liguria
6bbcb8924baf70b7fe2fe2097e8cd407,Abruzzo
75fbb52eda0cbc24f479d3b2fbfa8d3e,Basilicata
3d871de0142ce09b7081e2b9d1733cb1,Lazio
835f0f7810c76831d6c7d24c7a646d4d,Lazio
94e93ce877be27a515118dbfd2c2be41,Lazio
ea8482cd71df3c1969d7b9473ff13abc,Lazio
d12c926d74ceff0a90a21184466ce161,Lazio
5cf13accae3222c70a9cac40818ae839,Toscana
218d46b86c1881d022bce9c68a7d4b15,Lazio
