product_category_name_english,product_category_name_italian
sports_leisure,sport_tempo_libero
office_furniture,mobili_ufficio
toys,giocattoli
luggage_accessories,valigie_accessori
watches_gifts,orologi_regali
bed_bath_table,letto_bagno_tavola
watches_gifts,orologi_regali
bed_bath_table,letto_bagno_tavola
sports_leisure,sport_tempo_libero
cool_stuff,articoli_cool
watches_gifts,orologi_regali
furniture_decor,mobili_decorazione
office_furniture,mobili_ufficio
telephony,telefonia
bed_bath_table,letto_bagno_tavola
sports_leisure,sport_tempo_libero
small_appliances,piccoli_elettrodomestici
bed_bath_table,letto_bagno_tavola
bed_bath_table,letto_bagno_tavola
auto,auto
stationery,cartoleria
health_beauty,salute_bellezza
audio,audio
computers_accessories,informatica_accessori
fashion_shoes,moda_calzature
cool_stuff,articoli_cool
auto,auto
health_beauty,salute_bellezza
sports_leisure,sport_tempo_libero
watches_gifts,orologi_regali
furniture_decor,mobili_decorazione
sports_leisure,sport_tempo_libero
computers_accessories,informatica_accessori
computers_accessories,informatica_accessori
party_supplies,articoli_per_feste
dvds_blu_ray,dvd_blu_ray
stationery,cartoleria
housewares,articoli_per_la_casa
home_confort,casa_comfort
telephony,telefonia
sports_leisure,sport_tempo_libero
pet_shop,negozio_animali
sports_leisure,sport_tempo_libero
housewares,articoli_per_la_casa
telephony,telefonia
pet_shop,negozio_animali
cool_stuff,articoli_cool
toys,giocattoli
telephony,telefonia
garden_tools,attrezzi_da_giardino
health_beauty,salute_bellezza
bed_bath_table,letto_bagno_tavola
bed_bath_table,letto_bagno_tavola
bed_bath_table,letto_bagno_tavola
sports_leisure,sport_tempo_libero
furniture_bedroom,mobili_camera_da_letto
bed_bath_table,letto_bagno_tavola
bed_bath_table,letto_bagno_tavola
christmas_supplies,articoli_natalizi
sports_leisure,sport_tempo_libero
health_beauty,salute_bellezza
bed_bath_table,letto_bagno_tavola
toys,giocattoli
sports_leisure,sport_tempo_libero
bed_bath_table,letto_bagno_tavola
bed_bath_table,letto_bagno_tavola
furniture_decor,mobili_decorazione
sports_leisure,sport_tempo_libero
cool_stuff,articoli_cool
health_beauty,salute_bellezza
furniture_decor,mobili_decorazione
