product_id,category,product_name_length,product_description_length,product_photos_qty
c6336fa91fbd87c359e44f5dca5a90ed,sports_leisure,39,772,1
c56400aa5823575d5a92a8f98077490a,office_furniture,48,1043,1
00c744ca2f3b0e76ce227b146095d3f9,toys,41,569,1
c7b3cf9de7be95b3e09e7a63315685eb,luggage_accessories,49,489,2
23429572ca0a6901f36825829cec09b1,NaN,37,1143,3
4b6b3a7072d549354c3743dedbf4170a,watches_gifts,60,160,3
4d272fe20c57c64dc74b3db191fc31ef,bed_bath_table,45,113,1
e57eb018e37376580079825eb29a3419,watches_gifts,43,878,1
fa243e761ae871597627e917611eeb23,bed_bath_table,54,276,1
569962b1062cbaf02b768a3fe810fdd3,sports_leisure,25,211,1
3411fcf3ea2ecbf29a0b5ccb867c44ce,cool_stuff,49,813,3
4910917f05092f331bf3a477f791cc01,watches_gifts,52,102,2
09c3a2ea33f044aebffecd6681e00133,furniture_decor,45,494,1
47920da896bbd89e851429c78a7a7a8b,office_furniture,55,1086,2
f03859e4cc21018569f5ae7a03897ff4,NaN,47,458,2
dce3721f89a159fed6ff8b94d7ba32b9,telephony,54,1250,4
54bb3470c28291c7252832f0437ca469,bed_bath_table,58,207,1
9456c129f470955000d28c94f73340cd,sports_leisure,60,794,1
ad02436dd1e1332d5f75dced36e0a73e,small_appliances,60,1533,3
372645c7439f9661fbbacfd129aa92ec,bed_bath_table,60,236,1
be8aef10cd8c8a52fa98f5f7f71bb373,bed_bath_table,57,381,1
060cb19345d90064d1015407193c233d,auto,49,608,1
57f202d5e0ed7a3a2d75e479e1579cfe,stationery,53,215,2
4c2394abfbac7ff59ec7a420918562fa,health_beauty,49,1495,3
e6b6e13cf71449a457269f425b89dc74,audio,38,2887,1
36f60d45225e60c7da4558b070ce4b60,computers_accessories,33,300,1
218de70a5a63ca13ad448aa4706d8ce1,fashion_shoes,46,182,1
6e1b14d3cbb5fb3a2c00351007127dfd,cool_stuff,55,985,1
d02b36afa0f4b273bb31f9e54c693531,auto,58,855,6
60ee9861f35c13d4a3a2bc10e86bb05b,health_beauty,58,611,2
eddecafe978fc89774f82f552197bb08,sports_leisure,44,152,3
c18ac1d6cc053c0ec7296b994ae6ffeb,watches_gifts,54,237,1
0e839be47c2dc028ca3d90e65732b14c,furniture_decor,52,2057,2
81288df52439985f610be64465e53f57,sports_leisure,53,3189,7
6d2fde7d12bb6ff367dbda120ba8828e,computers_accessories,60,704,1
a630323d497e2acc89574e8b792c6936,computers_accessories,56,1803,1
99b4596b82b6f75d453160c9c75e01f4,party_supplies,36,378,1
