seller_id,region
e62b2d6ac10570a035a30bafcf01d263,Lazio
ab3e0c171fe84a7ba7de130f19cfb485,Liguria
dbdd0ec73a4817971d962698f2fea022,Molise
ed4acab38528488b65a9a9c603ff024a,Lazio
2199e7fe213c16213bf5d6a7eadc9a5d,Lazio
391fc6631aebcf3004804e51b40bcf1e,Lazio
6fc26fe110feebd80a433e1f012a84f9,Lazio
6560211a19b47992c3666cc44a7e94c0,Lazio
75a4764c108403a7a0575140cb22287c,Sardegna
c3cfdc648177fdbbbb35635a37472c53,Liguria
41b14765bd56c8ad10971074380f9c0c,Lazio
fb3cfbc8a86f5d7fbb4d36b8df63f60d,Piemonte
1835b56ce799e6a4dc4eddc053f04066,Lazio
6039e27294dc75811c0d8a39069f52c0,Lazio
004c9cd9d87a3c30c522c48c4fc07416,Lazio
7040e82f899a04d1b434b795a43b4617,Lazio
1f50f920176fa81dab994f9023523100,Lazio
28fb0829fd777877cdc350d25cb5bd5b,Lazio
5b925e1d006e9476d738aa200751b73b,Lazio
4869f7a5dfa277a7dca6462dcf3b52b2,Lazio
ff1fb4c404b2efe68b03350a8dc24122,Lazio
16090f2ca825584b5a147ab24aa30c86,Lazio
dc120d932ddf9d4dfb6fd68beefda622,Liguria
c33847515fa6305ce6feb1e818569f13,Abruzzo
7299e27ed73d2ad986de7f7c77d919fa,Toscana
a53f60f05f822b5c621a50ff6a5cb362,Toscana
cb8bcce248bb1fb274ba762d8b971456,Toscana
fcb5ace8bcc92f75707dc0f01a27d269,Lazio
3d871de0142ce09b7081e2b9d1733cb1,Lazio
9f505651f4a6abe901a56cdc21508025,Lazio
7a241947449cc45dbfda4f9d0798d9d0,Toscana
9e6229250fedbe05838fef417b74e7fb,Lazio
955fee9216a65b617aa5c0531780ce60,Lazio
55f7a3319d80f7fdf078b8f03e6725fe,Lazio
8d956fec2e4337affcb520f56fd8cbfd,Lazio
7d13fca15225358621be4086e1eb0964,Lazio
55dedd83e501d8248880557d9073cbfd,Piemonte
717b78b0950b51ed00b1471d858b0edc,Lazio
53243585a1d6dc2643021fd1853d8905,Friuli Venezia Giulia
d0d70d21e2234dd7cd3cf63fe414148a,Calabria
7c67e1448b00f6e969d365cea6b010ab,Lazio
ea8482cd71df3c1969d7b9473ff13abc,Lazio
07d75e33f2750d97d467fb57e4dfdd8a,Lazio
4869f7a5dfa277a7dca6462dcf3b52b2,Lazio
