product_id,category,product_name_length,product_description_length,product_photos_qty
3ff81cd0e0861e991bb0106c03c113ca,toys,63,2314,8
83a26c42a5f94b7456425cd0cd20daf8,NaN,60,1371,2
9d86a51639004c70d7b6037f43ecc070,garden_tools,64,1210,4
ad5396bf96af6ede77130e54ad266c61,furniture_decor,39,252,1
ad5396bf96af6ede77130e54ad266c61,furniture_decor,39,252,1
d38b73f9519632415b56acb83abc77fa,housewares,54,620,3
d38b73f9519632415b56acb83abc77fa,housewares,54,620,3
7a18f72d8f0acfbd60eea36f2644ce8e,food,63,670,6
1949890685a12526806e9463ba1a3964,fashion_bags_accessories,47,1182,4
027cdd14a677a5834bc67a9789db5021,perfumery,42,544,1
201ec8e4fb8456dd06265be68eb419a7,furniture_decor,52,1743,2
201ec8e4fb8456dd06265be68eb419a7,furniture_decor,52,1743,2
52b668edc0d0c20cd9319bfda4019597,furniture_decor,59,205,8
77cad52aa444e612b99517bebbb4abb2,pet_shop,63,1451,2
d5448c89ef7dc8228e12ae75e180ba74,telephony,44,101,1
1dc6a19ea34c75792743abebd47309d3,toys,56,797,3
6e2c62713ec17c681eacdf653dddb4e5,garden_tools,50,1430,5
3d37da85f5e66558333fb5daee494736,health_beauty,59,1828,1
3d37da85f5e66558333fb5daee494736,health_beauty,59,1828,1
3d37da85f5e66558333fb5daee494736,health_beauty,59,1828,1
2929be0cb603321a26091c3f376d52df,furniture_decor,35,272,2
ddc50b859563aa0b3d663559f3696690,office_furniture,30,1343,1
54c31c4585d30843421c7ea07d80f84e,computers_accessories,41,717,1
cd2c03056720c7de4d6a59c1167bdee0,fashion_bags_accessories,50,554,3
69faf0d53eb73597d6cfd50175901a56,health_beauty,36,1732,2
817e1c2d22418c36386406ccacfa53e8,furniture_decor,37,267,1
e7f5908a3c9844728d24e3322254b109,sports_leisure,27,372,4
34239894e175b17d8c84edc6c73b4dad,baby,35,221,5
10dd77710da08ea43018cb3b4cedff92,sports_leisure,58,1185,3
12715d8bb61f9c2c26219377d9737584,electronics,53,1996,3
8bc9dee0f2da0b7ad43095be7ad8414f,cool_stuff,41,1547,2
062619359d5f9a664606cb2a6ccb477a,health_beauty,64,1394,1
bfe05de8c1ac3259ae43ada77182d840,health_beauty,60,1090,1
0534940d69bf94dc61c0e722b4168235,furniture_decor,32,337,1
8a90417eb713be09fd87a5d077ae06a2,sports_leisure,59,3949,10
473795a355d29305c3ea6b156833adf5,perfumery,36,605,2
473795a355d29305c3ea6b156833adf5,perfumery,36,605,2
473795a355d29305c3ea6b156833adf5,perfumery,36,605,2
473795a355d29305c3ea6b156833adf5,perfumery,36,605,2
473795a355d29305c3ea6b156833adf5,perfumery,36,605,2
2b50a33b93e3b489f648b9166a62e13d,furniture_decor,63,199,6
c42500bc89ec2aab54ff83f7c31b8773,telephony,54,259,1
5f8c74f4a3d2b616857fcb7d4dd1f61a,books_general_interest,41,1009,1
35084deab9603bbb6035bb8638b1df89,furniture_decor,49,100,1
7e7e1af4ab49963c6e1245b2dbd8f492,housewares,63,447,3
6c0d548acd149f30331671548dda66e8,sports_leisure,63,406,2
3ae08df6bcbfe23586dd431c40bddbb7,watches_gifts,63,1642,3
5c12fb778168a77e3ffc8d7dd7a689fd,perfumery,63,815,4
3e8a0f0a4389aa563b110eab167d99d4,baby,60,1212,4
f436a5130457df6b73cdb2c12a90ea2b,furniture_decor,51,498,1
9805b37a2e4983fb5dbb5c8168590c44,industry_commerce_and_business,47,563,2
9805b37a2e4983fb5dbb5c8168590c44,industry_commerce_and_business,47,563,2
9805b37a2e4983fb5dbb5c8168590c44,industry_commerce_and_business,47,563,2
9805b37a2e4983fb5dbb5c8168590c44,industry_commerce_and_business,47,563,2
d6f3bd7b1fc04fb1a2effb51ae44ab17,NaN,47,348,4
d38001d747d4cd832d1ceb2c2d3ca15d,furniture_decor,30,1466,2
bfce5e847034e1fbbc1ed0bff6a372c7,furniture_decor,55,248,1
4a92216ec92c54fca6f132ae1988390d,toys,36,355,3
cf78006a2a6b0429b9663edd99bb38f9,furniture_decor,49,399,1
5e57a146ccdca976190821a00a059ebf,perfumery,43,837,2
5e57a146ccdca976190821a00a059ebf,perfumery,43,837,2
db7a58cce179f80f562fb714ceee9319,baby,51,132,1
db7a58cce179f80f562fb714ceee9319,baby,51,132,1
e9eebb8e8ba0fadb9020f8ba1c003b48,perfumery,36,210,1
5e80fe2cee2f6de9a494047ed35a2fe3,garden_tools,63,1244,5
f9bcf9d8e89d012d7dc24fe4de0abd80,computers_accessories,36,398,1
f9bcf9d8e89d012d7dc24fe4de0abd80,computers_accessories,36,398,1
79bcd1f7f00535c801244eb999d8d290,fixed_telephony,47,607,3
79938780eb7ffb7289f59a9a283bc06b,health_beauty,54,1739,1
79938780eb7ffb7289f59a9a283bc06b,health_beauty,54,1739,1
79938780eb7ffb7289f59a9a283bc06b,health_beauty,54,1739,1
79938780eb7ffb7289f59a9a283bc06b,health_beauty,54,1739,1
79938780eb7ffb7289f59a9a283bc06b,health_beauty,54,1739,1
3c980d4656c6379e6dfd704a2cc48a88,baby,41,1098,2
c1488892604e4ba5cff5b4eb4d595400,furniture_decor,59,426,2
c1488892604e4ba5cff5b4eb4d595400,furniture_decor,59,426,2
c1488892604e4ba5cff5b4eb4d595400,furniture_decor,59,426,2
af667947a84d9ff9d326b60ab75d1ae2,telephony,54,363,1
af667947a84d9ff9d326b60ab75d1ae2,telephony,54,363,1
ace91f88d635b9e5563e36cc0a0a8f09,furniture_decor,49,466,2
f27f3e8b4b3836e4d6cd756dfb83e750,sports_leisure,48,1322,2
5b8423dc7f23089c9c59c5d140eb5a1c,toys,59,1629,3
bb0697bdc552a255c992d331ca09afe3,fixed_telephony,63,867,2
e96867993d08fadbc6f828871885f897,perfumery,40,280,1
c62dee961914cc2e49239963b04258ec,office_furniture,63,1352,1
e7ffaa35a5caaca3366f5cc5705b5fb2,health_beauty,40,428,2
e7ffaa35a5caaca3366f5cc5705b5fb2,health_beauty,40,428,2
bf128b5dced56e2ec0391179eb70443d,baby,55,728,4
838944cf86ccee50e01a52fba21cf29b,health_beauty,63,1540,1
